timestamp,signal_value
0,100
1,100
2,100
3,100
4,100
5,100
6,100
7,100
8,100
9,100
10,100
11,100
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,75
26,78
27,81
28,84
29,87
30,90
31,93
32,96
33,99
34,102
35,105
36,108
37,111
38,114
39,117
40,120
41,123
42,126
43,129
44,132
45,135
46,138
47,141
48,144
49,147
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,100
58,100
59,100
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,225
76,228
77,231
78,234
79,237
80,240
81,243
82,246
83,249
84,252
85,255
86,2
87,5
88,8
89,11
90,14
91,17
92,20
93,23
94,26
95,29
96,32
97,35
98,38
99,41
100,100
101,100
102,100
103,100
104,100
105,100
106,100
107,100
108,100
109,100
110,100
111,100
112,100
113,100
114,100
115,100
116,100
117,100
118,100
119,100
120,100
121,100
122,100
123,100
124,100
125,119
126,122
127,125
128,128
129,131
130,134
131,137
132,140
133,143
134,146
135,149
136,152
137,155
138,158
139,161
140,164
141,167
142,170
143,173
144,176
145,179
146,182
147,185
148,188
149,191
150,100
151,100
152,100
153,100
154,100
155,100
156,100
157,100
158,100
159,100
160,100
161,100
162,100
163,100
164,100
165,100
166,100
167,100
168,100
169,100
170,100
171,100
172,100
173,100
174,100
175,13
176,16
177,19
178,22
179,25
180,28
181,31
182,34
183,37
184,40
185,43
186,46
187,49
188,52
189,55
190,58
191,61
192,64
193,67
194,70
195,73
196,76
197,79
198,82
199,85
200,100
201,100
202,100
203,100
204,100
205,100
206,100
207,100
208,100
209,100
210,100
211,100
212,100
213,100
214,100
215,100
216,100
217,100
218,100
219,100
220,100
221,100
222,100
223,100
224,100
225,163
226,166
227,169
228,172
229,175
230,178
231,181
232,184
233,187
234,190
235,193
236,196
237,199
238,202
239,205
240,208
241,211
242,214
243,217
244,220
245,223
246,226
247,229
248,232
249,235
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,57
276,60
277,63
278,66
279,69
280,72
281,75
282,78
283,81
284,84
285,87
286,90
287,93
288,96
289,99
290,102
291,105
292,108
293,111
294,114
295,117
296,120
297,123
298,126
299,129
300,100
301,100
302,100
303,100
304,100
305,100
306,100
307,100
308,100
309,100
310,100
311,100
312,100
313,100
314,100
315,100
316,100
317,100
318,100
319,100
320,100
321,100
322,100
323,100
324,100
325,207
326,210
327,213
328,216
329,219
330,222
331,225
332,228
333,231
334,234
335,237
336,240
337,243
338,246
339,249
340,252
341,255
342,2
343,5
344,8
345,11
346,14
347,17
348,20
349,23
350,100
351,100
352,100
353,100
354,100
355,100
356,100
357,100
358,100
359,100
360,100
361,100
362,100
363,100
364,100
365,100
366,100
367,100
368,100
369,100
370,100
371,100
372,100
373,100
374,100
375,101
376,104
377,107
378,110
379,113
380,116
381,119
382,122
383,125
384,128
385,131
386,134
387,137
388,140
389,143
390,146
391,149
392,152
393,155
394,158
395,161
396,164
397,167
398,170
399,173
400,100
401,100
402,100
403,100
404,100
405,100
406,100
407,100
408,100
409,100
410,100
411,100
412,100
413,100
414,100
415,100
416,100
417,100
418,100
419,100
420,100
421,100
422,100
423,100
424,100
425,251
426,254
427,1
428,4
429,7
430,10
431,13
432,16
433,19
434,22
435,25
436,28
437,31
438,34
439,37
440,40
441,43
442,46
443,49
444,52
445,55
446,58
447,61
448,64
449,67
450,100
451,100
452,100
453,100
454,100
455,100
456,100
457,100
458,100
459,100
460,100
461,100
462,100
463,100
464,100
465,100
466,100
467,100
468,100
469,100
470,100
471,100
472,100
473,100
474,100
475,145
476,148
477,151
478,154
479,157
480,160
481,163
482,166
483,169
484,172
485,175
486,178
487,181
488,184
489,187
490,190
491,193
492,196
493,199
494,202
495,205
496,208
497,211
498,214
499,217
500,100
501,100
502,100
503,100
504,100
505,100
506,100
507,100
508,100
509,100
510,100
511,100
512,100
513,100
514,100
515,100
516,100
517,100
518,100
519,100
520,100
521,100
522,100
523,100
524,100
525,39
526,42
527,45
528,48
529,51
530,54
531,57
532,60
533,63
534,66
535,69
536,72
537,75
538,78
539,81
540,84
541,87
542,90
543,93
544,96
545,99
546,102
547,105
548,108
549,111
550,100
551,100
552,100
553,100
554,100
555,100
556,100
557,100
558,100
559,100
560,100
561,100
562,100
563,100
564,100
565,100
566,100
567,100
568,100
569,100
570,100
571,100
572,100
573,100
574,100
575,189
576,192
577,195
578,198
579,201
580,204
581,207
582,210
583,213
584,216
585,219
586,222
587,225
588,228
589,231
590,234
591,237
592,240
593,243
594,246
595,249
596,252
597,255
598,2
599,5
600,100
601,100
602,100
603,100
604,100
605,100
606,100
607,100
608,100
609,100
610,100
611,100
612,100
613,100
614,100
615,100
616,100
617,100
618,100
619,100
620,100
621,100
622,100
623,100
624,100
625,83
626,86
627,89
628,92
629,95
630,98
631,101
632,104
633,107
634,110
635,113
636,116
637,119
638,122
639,125
640,128
641,131
642,134
643,137
644,140
645,143
646,146
647,149
648,152
649,155
650,100
651,100
652,100
653,100
654,100
655,100
656,100
657,100
658,100
659,100
660,100
661,100
662,100
663,100
664,100
665,100
666,100
667,100
668,100
669,100
670,100
671,100
672,100
673,100
674,100
675,233
676,236
677,239
678,242
679,245
680,248
681,251
682,254
683,1
684,4
685,7
686,10
687,13
688,16
689,19
690,22
691,25
692,28
693,31
694,34
695,37
696,40
697,43
698,46
699,49
700,100
701,100
702,100
703,100
704,100
705,100
706,100
707,100
708,100
709,100
710,100
711,100
712,100
713,100
714,100
715,100
716,100
717,100
718,100
719,100
720,100
721,100
722,100
723,100
724,100
725,127
726,130
727,133
728,136
729,139
730,142
731,145
732,148
733,151
734,154
735,157
736,160
737,163
738,166
739,169
740,172
741,175
742,178
743,181
744,184
745,187
746,190
747,193
748,196
749,199
750,100
751,100
752,100
753,100
754,100
755,100
756,100
757,100
758,100
759,100
760,100
761,100
762,100
763,100
764,100
765,100
766,100
767,100
768,100
769,100
770,100
771,100
772,100
773,100
774,100
775,21
776,24
777,27
778,30
779,33
780,36
781,39
782,42
783,45
784,48
785,51
786,54
787,57
788,60
789,63
790,66
791,69
792,72
793,75
794,78
795,81
796,84
797,87
798,90
799,93
800,100
801,100
802,100
803,100
804,100
805,100
806,100
807,100
808,100
809,100
810,100
811,100
812,100
813,100
814,100
815,100
816,100
817,100
818,100
819,100
820,100
821,100
822,100
823,100
824,100
825,171
826,174
827,177
828,180
829,183
830,186
831,189
